User,CCR,FAR,FRR,EER
1,99.7794117647059,0.245098039215686,0,0.122549019607843
2,98.5294117647059,1.47058823529412,1.47058823529412,1.47058823529412
3,100,0,0,0
4,97.1323529411765,2.85947712418301,2.94117647058824,2.90032679738562
5,100,0,0,0
6,97.6470588235294,2.36928104575163,2.20588235294118,2.28758169934641
7,98.3823529411765,1.63398692810458,1.47058823529412,1.55228758169935
8,100,0,0,0
9,99.2647058823529,0.735294117647059,0.735294117647059,0.735294117647059
10,99.6323529411765,0.326797385620915,0.735294117647059,0.531045751633987
